t_s,roll,pitch,yaw,a_x,a_y,a_z,w_x,w_y,w_z,vx_est,vy_est,X_est,Y_est,d_F,FxR,vx_enc, enc_count
1449023662.776,-0.73,1.32,20.3800,0.0001,0.0083,-1.0317,0.2816,0.9681,0.1495,0.9295,-0.4911,6.6662,-6.8890, -0.352, 50.000, 0.000, 1832
1449023662.794,-0.72,1.32,20.8800,0.0090,0.0131,-1.0254,0.4033,0.9063,0.2102,0.9159,-0.4888,6.6769,-6.8946, -0.352, 50.000, 0.000, 1832
1449023662.818,-0.72,1.33,21.4200,0.0065,0.0185,-1.0332,0.4033,0.9063,0.2102,0.9024,-0.4867,6.6910,-6.9018, -0.352, 50.000, 0.000, 1832
1449023662.836,-0.72,1.34,22.0500,0.0089,0.0228,-1.0182,0.4652,0.9674,0.0880,0.8891,-0.4847,6.7016,-6.9072, -0.352, 50.000, 0.000, 1832
1449023662.854,-0.73,1.36,22.6200,0.0134,0.0228,-1.0191,0.4037,1.0294,0.1485,0.8759,-0.4829,6.7123,-6.9126, -0.352, 50.000, 0.000, 1832
1449023662.878,-0.74,1.37,23.1700,0.0133,0.0296,-1.0163,0.4037,0.9678,0.1490,0.8629,-0.4813,6.7265,-6.9197, -0.352, 50.000, 0.000, 1832
1449023662.896,-0.74,1.38,23.4000,0.0148,0.0340,-1.0231,0.3427,0.9063,0.1498,0.8500,-0.4799,6.7370,-6.9249, -0.352, 50.000, 0.000, 1832
1449023662.914,-0.75,1.39,23.6500,0.0133,0.0330,-1.0081,0.4032,1.0295,0.2092,0.8373,-0.4785,6.7477,-6.9303, -0.352, 50.000, 0.000, 1832
1449023662.938,-0.77,1.40,23.9100,0.0133,0.0373,-1.0062,0.1593,1.1533,0.1486,0.8248,-0.4774,6.7618,-6.9372, -0.352, 50.000, 0.000, 1832
1449023662.956,-0.78,1.42,24.1400,0.0197,0.0388,-1.0076,0.3419,0.8451,0.2717,0.8125,-0.4764,6.7724,-6.9425, -0.352, 50.000, 0.000, 1832
1449023662.974,-0.80,1.44,24.3900,0.0217,0.0412,-1.0013,0.2815,1.0297,0.1490,0.8003,-0.4755,6.7831,-6.9479, -0.352, 50.000, 0.000, 1832
1449023662.998,-0.82,1.45,24.7100,0.0168,0.0383,-0.9994,0.2197,0.9070,0.2717,0.7884,-0.4747,6.7971,-6.9549, -0.352, 50.000, 0.000, 1832
1449023663.016,-0.83,1.46,24.9200,0.0182,0.0417,-1.0023,0.2816,0.9681,0.1495,0.7767,-0.4740,6.8077,-6.9601, -0.352, 50.000, 0.000, 1832
1449023663.034,-0.85,1.47,25.0800,0.0232,0.0359,-1.0032,0.1593,0.7222,0.2128,0.7651,-0.4735,6.8183,-6.9655, -0.352, 50.000, 0.000, 1832
1449023663.057,-0.86,1.48,25.2500,0.0153,0.0388,-0.9955,0.2198,0.7838,0.2727,0.7539,-0.4731,6.8324,-6.9726, -0.352, 50.000, 0.000, 1832
1449023663.076,-0.88,1.49,25.4200,0.0183,0.0378,-0.9945,0.0388,0.5989,0.0322,0.7428,-0.4727,6.8429,-6.9779, -0.352, 50.000, 0.000, 1832
1449023663.094,-0.89,1.50,25.6100,0.0222,0.0344,-0.9920,0.0363,0.6613,0.3353,0.7319,-0.4725,6.8536,-6.9834, -0.352, 50.000, 0.000, 1832
1449023663.118,-0.90,1.50,25.8000,0.0144,0.0286,-1.0022,0.0370,0.4764,0.2761,0.7213,-0.4724,6.8676,-6.9906, -0.352, 50.000, 0.000, 1832
1449023663.135,-0.91,1.50,25.9700,0.0188,0.0257,-1.0031,0.0374,0.5378,0.2148,0.7108,-0.4723,6.8782,-6.9960, -0.352, 50.000, 0.000, 1832
1449023663.154,-0.92,1.50,26.2000,0.0095,0.0232,-0.9974,-0.0239,0.3533,0.2773,0.7006,-0.4724,6.8889,-7.0015, -0.352, 50.000, 0.000, 1832
1449023663.177,-0.92,1.50,26.4000,0.0149,0.0159,-1.0045,0.0994,0.1678,0.1569,0.6906,-0.4726,6.9029,-7.0087, -0.352, 50.000, 0.000, 1832
1449023663.196,-0.91,1.50,26.6200,0.0144,0.0130,-1.0098,0.0368,0.2917,0.3383,0.6809,-0.4728,6.9136,-7.0142, -0.352, 50.000, 0.000, 1832
1449023663.214,-0.91,1.49,26.8100,0.0134,0.0068,-1.0224,0.2204,0.2910,0.2768,0.6713,-0.4731,6.9243,-7.0198, -0.352, 50.000, 0.000, 1832
1449023663.238,-0.90,1.49,27.0000,0.0090,0.0048,-1.0209,0.0987,0.3528,0.2161,0.6620,-0.4735,6.9385,-7.0272, -0.352, 50.000, 0.000, 1832
1449023663.256,-0.88,1.47,27.1900,0.0012,0.0024,-1.0229,0.2820,0.2291,0.2163,0.6528,-0.4740,6.9491,-7.0327, -0.352, 50.000, 0.000, 1832
1449023663.274,-0.87,1.47,27.6900,0.0071,0.0004,-1.0175,0.2201,0.1680,0.3385,0.6439,-0.4746,6.9600,-7.0384, -0.352, 50.000, 0.000, 1832
1449023663.298,-0.85,1.46,28.3400,0.0037,-0.0083,-1.0179,0.2811,0.1678,0.3382,0.6352,-0.4752,6.9743,-7.0458, -0.352, 50.000, 0.000, 1832
1449023663.315,-0.84,1.45,28.9900,0.0036,-0.0020,-1.0233,0.2211,0.1061,0.2175,0.6267,-0.4759,6.9851,-7.0512, -0.352, 50.000, 0.000, 1832
1449023663.334,-0.83,1.44,29.6400,0.0051,-0.0073,-1.0325,0.3435,0.2903,0.1548,0.6184,-0.4766,6.9961,-7.0567, -0.352, 50.000, 0.000, 1832
1449023663.357,-0.81,1.43,30.2700,0.0051,-0.0049,-1.0291,0.3416,0.2910,0.3976,0.6104,-0.4774,7.0106,-7.0637, -0.352, 50.000, 0.000, 1832
1449023663.376,-0.79,1.43,30.7200,0.0012,-0.0049,-1.0243,0.3426,0.5985,0.2130,0.6025,-0.4783,7.0217,-7.0690, -0.352, 50.000, 0.000, 1832
1449023663.393,-0.77,1.43,30.9400,0.0036,0.0014,-1.0292,0.2816,0.5987,0.2133,0.5948,-0.4792,7.0327,-7.0742, -0.352, 50.000, 0.000, 1832
1449023663.418,-0.76,1.42,31.1200,0.0016,0.0068,-1.0307,0.3417,0.5373,0.3349,0.5874,-0.4802,7.0475,-7.0812, -0.352, 50.000, 0.000, 1832
1449023663.436,-0.75,1.42,31.3100,0.0031,0.0044,-1.0278,0.4039,0.7830,0.1505,0.5801,-0.4812,7.0586,-7.0864, -0.352, 50.000, 0.000, 1832
1449023663.453,-0.73,1.42,31.4900,0.0001,0.0068,-1.0322,0.4641,0.7215,0.2722,0.5731,-0.4823,7.0699,-7.0917, -0.352, 50.000, 0.000, 1832
1449023663.477,-0.73,1.42,31.6800,0.0026,0.0097,-1.0317,0.3419,0.8451,0.2717,0.5662,-0.4834,7.0848,-7.0987, -0.352, 50.000, 0.000, 1832
1449023663.495,-0.72,1.42,32.1300,0.0070,0.0146,-1.0332,0.2817,0.9065,0.1500,0.5595,-0.4846,7.0959,-7.1039, -0.352, 50.000, 0.000, 1832
1449023663.514,-0.72,1.43,32.6500,0.0084,0.0194,-1.0298,0.4647,1.0292,0.1482,0.5530,-0.4858,7.1072,-7.1091, -0.352, 50.000, 0.000, 1832
1449023663.537,-0.73,1.44,33.1000,0.0094,0.0272,-1.0202,0.5249,0.9678,0.2699,0.5467,-0.4870,7.1223,-7.1160, -0.352, 50.000, 0.000, 1832
1449023663.556,-0.71,1.44,33.4400,-0.0003,-0.0010,-1.0297,0.5244,0.5369,0.3948,0.5405,-0.4883,7.1336,-7.1211, -0.352, 50.000, 0.000, 1832
1449023663.574,-0.70,1.44,33.7300,0.0002,0.0044,-1.0288,0.4032,0.5985,0.2734,0.5346,-0.4896,7.1450,-7.1262, -0.352, 50.000, 0.000, 1832
1449023663.598,-0.69,1.44,34.1800,0.0056,0.0005,-1.0272,0.3419,0.8451,0.2717,0.5288,-0.4909,7.1603,-7.1329, -0.352, 50.000, 0.000, 1832
1449023663.616,-0.69,1.45,34.6500,0.0051,0.0082,-1.0278,0.4033,0.9063,0.2102,0.5231,-0.4923,7.1717,-7.1379, -0.352, 50.000, 0.000, 1832
1449023663.634,-0.68,1.45,35.0300,0.0089,0.0146,-1.0341,0.5264,0.8440,0.0887,0.5176,-0.4937,7.1833,-7.1429, -0.352, 50.000, 0.000, 1832
1449023663.658,-0.68,1.46,35.3100,0.0065,0.0160,-1.0230,0.3425,1.0911,0.1483,0.5123,-0.4951,7.1988,-7.1494, -0.352, 50.000, 0.000, 1832
1449023663.675,-0.68,1.47,35.6100,0.0094,0.0262,-1.0265,0.3428,0.8447,0.1503,0.5071,-0.4966,7.2104,-7.1543, -0.352, 50.000, 0.000, 1832
1449023663.694,-0.69,1.48,35.8500,0.0065,0.0296,-1.0178,0.3410,1.1533,0.3299,0.5020,-0.4980,7.2221,-7.1592, -0.352, 50.000, 0.000, 1832
1449023663.717,-0.69,1.49,36.0300,0.0089,0.0301,-1.0178,0.3430,1.0910,0.0876,0.4971,-0.4996,7.2377,-7.1657, -0.352, 50.000, 0.000, 1832
1449023663.735,-0.70,1.50,36.1700,0.0113,0.0345,-1.0169,0.4653,0.9058,0.0885,0.4924,-0.5011,7.2494,-7.1705, -0.352, 50.000, 0.000, 1832
1449023663.753,-0.72,1.51,36.4100,0.0182,0.0398,-1.0047,0.2200,1.0301,0.2100,0.4877,-0.5026,7.2613,-7.1755, -0.352, 50.000, 0.000, 1832
1449023663.777,-0.73,1.52,36.7200,0.0128,0.0402,-1.0029,0.2822,0.9063,0.0893,0.4832,-0.5042,7.2771,-7.1820, -0.352, 50.000, 0.000, 1832
1449023663.796,-0.75,1.54,37.2900,0.0201,0.0461,-1.0082,0.2199,1.0917,0.2095,0.4788,-0.5059,7.2888,-7.1868, -0.352, 50.000, 0.000, 1832
1449023663.814,-0.77,1.55,37.8200,0.0187,0.0417,-1.0047,0.2207,0.8451,0.1508,0.4746,-0.5075,7.3009,-7.1916, -0.352, 50.000, 0.000, 1832
1449023663.837,-0.79,1.56,38.3300,0.0153,0.0393,-0.9994,0.2206,0.9683,0.1498,0.4705,-0.5092,7.3168,-7.1978, -0.352, 50.000, 0.000, 1832
1449023663.856,-0.81,1.57,38.6200,0.0207,0.0398,-1.0033,0.0376,0.7840,0.1521,0.4664,-0.5109,7.3289,-7.2025, -0.352, 50.000, 0.000, 1832
1449023663.874,-0.83,1.58,38.8700,0.0148,0.0383,-0.9985,0.0987,0.7838,0.1518,0.4625,-0.5127,7.3411,-7.2071, -0.352, 50.000, 0.000, 1832
1449023663.898,-0.84,1.59,39.0900,0.0149,0.0339,-0.9921,0.1599,0.6605,0.1526,0.4588,-0.5145,7.3574,-7.2132, -0.352, 50.000, 0.000, 1832
1449023663.916,-0.85,1.59,39.3400,0.0178,0.0295,-1.0032,0.0994,0.5373,0.0931,0.4551,-0.5163,7.3696,-7.2178, -0.352, 50.000, 0.000, 1832
1449023663.934,-0.87,1.59,39.5800,0.0188,0.0310,-1.0022,0.0383,0.5990,0.0929,0.4516,-0.5182,7.3820,-7.2225, -0.352, 50.000, 0.000, 1832
1449023663.958,-0.87,1.60,39.8100,0.0154,0.0271,-1.0022,0.0376,0.4146,0.2158,0.4482,-0.5201,7.3985,-7.2286, -0.352, 50.000, 0.000, 1832
1449023663.976,-0.88,1.59,40.0100,0.0105,0.0174,-0.9983,0.0982,0.3530,0.2768,0.4449,-0.5220,7.4109,-7.2331, -0.352, 50.000, 0.000, 1832
1449023663.993,-0.88,1.59,40.1700,0.0159,0.0145,-1.0089,0.0368,0.2301,0.3388,0.4416,-0.5240,7.4235,-7.2377, -0.352, 50.000, 0.000, 1832
1449023664.017,-0.88,1.58,40.4300,0.0120,0.0082,-1.0088,0.0983,0.2914,0.2773,0.4386,-0.5260,7.4402,-7.2438, -0.352, 50.000, 0.000, 1832
1449023664.035,-0.87,1.58,40.6900,0.0090,0.0067,-1.0122,0.0985,0.1066,0.2788,0.4356,-0.5280,7.4528,-7.2484, -0.352, 50.000, 0.000, 1832
1449023664.054,-0.86,1.57,41.0600,0.0090,0.0043,-1.0171,0.2197,0.1066,0.3997,0.4327,-0.5301,7.4656,-7.2530, -0.352, 50.000, 0.000, 1832
1449023664.078,-0.85,1.56,41.5000,0.0042,-0.0006,-1.0122,0.1608,0.2291,0.0954,0.4299,-0.5322,7.4826,-7.2590, -0.352, 50.000, 0.000, 1832
1449023664.096,-0.84,1.56,41.8100,0.0066,-0.0049,-1.0223,0.0984,0.1682,0.2783,0.4272,-0.5343,7.4955,-7.2634, -0.352, 50.000, 0.000, 1832
1449023664.114,-0.82,1.54,42.0500,0.0027,-0.0030,-1.0229,0.2811,0.1678,0.3382,0.4246,-0.5365,7.5087,-7.2680, -0.352, 50.000, 0.000, 1832
1449023664.138,-0.81,1.53,42.2600,0.0017,-0.0068,-1.0272,0.2194,0.3530,0.3977,0.4221,-0.5387,7.5258,-7.2737, -0.352, 50.000, 0.000, 1832
1449023664.156,-0.79,1.53,42.4900,0.0027,-0.0059,-1.0233,0.2817,0.4755,0.2143,0.4197,-0.5409,7.5388,-7.2781, -0.352, 50.000, 0.000, 1832
1449023664.174,-0.77,1.52,42.8200,0.0007,-0.0083,-1.0364,0.3428,0.4753,0.2140,0.4174,-0.5432,7.5521,-7.2825, -0.352, 50.000, 0.000, 1832
1449023664.197,-0.76,1.52,43.2700,0.0056,-0.0049,-1.0339,0.2211,0.5371,0.1533,0.4152,-0.5455,7.5695,-7.2882, -0.352, 50.000, 0.000, 1832
1449023664.216,-0.74,1.51,43.8000,0.0007,-0.0000,-1.0287,0.3426,0.6601,0.2125,0.4131,-0.5477,7.5828,-7.2925, -0.352, 50.000, 0.000, 1832
1449023664.234,-0.73,1.51,44.2800,0.0055,0.0049,-1.0350,0.4651,0.6596,0.1512,0.4110,-0.5501,7.5962,-7.2966, -0.352, 50.000, 0.000, 1832
1449023664.258,-0.72,1.51,44.6700,0.0075,0.0044,-1.0306,0.3419,0.7835,0.2722,0.4090,-0.5524,7.6141,-7.3021, -0.352, 50.000, 0.000, 1832
1449023664.276,-0.72,1.52,45.1000,0.0075,0.0053,-1.0326,0.4031,0.7217,0.2724,0.4072,-0.5547,7.6276,-7.3061, -0.352, 50.000, 0.000, 1832
1449023664.294,-0.71,1.52,45.5600,0.0040,0.0146,-1.0308,0.2807,0.9685,0.2710,0.4053,-0.5571,7.6411,-7.3100, -0.352, 50.000, 0.000, 1832
1449023664.317,-0.71,1.52,46.0800,0.0060,0.0204,-1.0332,0.3428,0.8447,0.1503,0.4036,-0.5594,7.6593,-7.3151, -0.352, 50.000, 0.000, 1832
1449023664.336,-0.71,1.53,46.5200,0.0089,0.0189,-1.0245,0.4638,1.0295,0.2697,0.4019,-0.5618,7.6730,-7.3188, -0.352, 50.000, 0.000, 1832
1449023664.354,-0.71,1.54,46.8200,0.0079,0.0233,-1.0274,0.4641,1.1526,0.2079,0.4003,-0.5642,7.6868,-7.3225, -0.352, 50.000, 0.000, 1832
1449023664.377,-0.72,1.55,47.0600,0.0114,0.0301,-1.0144,0.4036,1.0910,0.1480,0.3988,-0.5666,7.7053,-7.3273, -0.352, 50.000, 0.000, 1832
1449023664.395,-0.73,1.56,47.2300,0.0118,0.0355,-1.0241,0.2205,1.0299,0.1493,0.3974,-0.5690,7.7191,-7.3309, -0.352, 50.000, 0.000, 1832
1449023664.414,-0.74,1.57,47.4300,0.0147,0.0364,-1.0227,0.3440,1.0290,-0.0334,0.3960,-0.5714,7.7332,-7.3345, -0.352, 50.000, 0.000, 1832
1449023664.437,-0.76,1.58,47.6400,0.0138,0.0388,-1.0140,0.1595,0.9685,0.1501,0.3947,-0.5738,7.7518,-7.3391, -0.352, 50.000, 0.000, 1832
1449023664.455,-0.77,1.59,47.8600,0.0109,0.0407,-1.0034,0.1592,0.8454,0.2118,0.3934,-0.5763,7.7658,-7.3426, -0.352, 50.000, 0.000, 1832
1449023664.474,-0.79,1.60,48.1500,0.0182,0.0422,-1.0019,0.1593,0.7838,0.2123,0.3922,-0.5787,7.7801,-7.3461, -0.352, 50.000, 0.000, 1832
1449023664.497,-0.81,1.61,48.6100,0.0183,0.0397,-0.9989,0.2820,1.0295,0.0883,0.3911,-0.5812,7.7990,-7.3507, -0.352, 50.000, 0.000, 1832
1449023664.516,-0.83,1.62,49.0200,0.0178,0.0407,-0.9989,0.1002,0.7217,-0.0298,0.3900,-0.5837,7.8133,-7.3540, -0.352, 50.000, 0.000, 1832
1449023664.533,-0.85,1.63,49.4500,0.0222,0.0402,-0.9989,0.0382,0.6606,0.0924,0.3890,-0.5862,7.8277,-7.3573, -0.352, 50.000, 0.000, 1832
1449023664.557,-0.86,1.64,49.9000,0.0173,0.0349,-0.9965,0.2203,0.7837,0.2120,0.3881,-0.5887,7.8469,-7.3615, -0.352, 50.000, 0.000, 1832
1449023664.576,-0.88,1.65,50.3500,0.0173,0.0363,-0.9965,0.0374,0.5994,0.2143,0.3872,-0.5913,7.8614,-7.3646, -0.352, 50.000, 0.000, 1832
1449023664.594,-0.89,1.66,50.8000,0.0183,0.0344,-0.9964,0.0989,0.5990,0.1534,0.3863,-0.5938,7.8761,-7.3677, -0.352, 50.000, 0.000, 1832
1449023664.618,-0.90,1.66,51.2300,0.0139,0.0242,-0.9983,0.0986,0.4760,0.2151,0.3856,-0.5964,7.8958,-7.3715, -0.352, 50.000, 0.000, 1832
1449023664.635,-0.91,1.66,51.6700,0.0149,0.0232,-1.0036,0.0366,0.4765,0.3368,0.3848,-0.5990,7.9105,-7.3744, -0.352, 50.000, 0.000, 1832
1449023664.654,-0.92,1.66,52.1200,0.0100,0.0208,-1.0017,-0.0853,0.2921,0.3388,0.3842,-0.6016,7.9255,-7.3771, -0.352, 50.000, 0.000, 1832
1449023664.678,-0.92,1.66,52.5700,0.0090,0.0150,-1.0051,0.0992,0.3526,0.1554,0.3836,-0.6043,7.9455,-7.3806, -0.352, 50.000, 0.000, 1832
1449023664.696,-0.92,1.65,52.9800,0.0115,0.0116,-1.0069,-0.0241,0.1687,0.3395,0.3830,-0.6070,7.9605,-7.3832, -0.352, 50.000, 0.000, 1832
1449023664.713,-0.92,1.65,53.4100,0.0090,0.0092,-1.0118,-0.0232,0.1684,0.2181,0.3825,-0.6097,7.9757,-7.3857, -0.352, 50.000, 0.000, 1832
1449023664.738,-0.91,1.64,53.8400,0.0130,0.0048,-1.0170,0.0369,0.1685,0.3393,0.3821,-0.6124,7.9959,-7.3888, -0.352, 50.000, 0.000, 1832
1449023664.756,-0.91,1.63,54.2400,0.0105,0.0033,-1.0180,0.1599,0.2294,0.2168,0.3817,-0.6151,8.0112,-7.3911, -0.352, 50.000, 0.000, 1832
1449023664.774,-0.90,1.62,54.6600,0.0022,-0.0005,-1.0234,0.0993,0.2294,0.1564,0.3813,-0.6179,8.0268,-7.3933, -0.352, 50.000, 0.000, 1832
1449023664.797,-0.88,1.62,55.0700,0.0061,-0.0054,-1.0247,0.2806,0.2296,0.3984,0.3810,-0.6206,8.0474,-7.3960, -0.352, 50.000, 0.000, 1832
1449023664.816,-0.87,1.61,55.4800,0.0061,-0.0054,-1.0257,0.0982,0.3530,0.2768,0.3808,-0.6234,8.0629,-7.3980, -0.352, 50.000, 0.000, 1832
1449023664.834,-0.85,1.60,55.8800,0.0027,-0.0039,-1.0253,0.2198,0.4144,0.3365,0.3806,-0.6262,8.0786,-7.3999, -0.352, 50.000, 0.000, 1832
1449023664.858,-0.84,1.59,56.2900,0.0022,-0.0078,-1.0315,0.2819,0.3523,0.2153,0.3804,-0.6291,8.0995,-7.4023, -0.352, 50.000, 0.000, 1832
1449023664.876,-0.82,1.59,56.7100,0.0036,-0.0010,-1.0297,0.3428,0.4753,0.2140,0.3803,-0.6319,8.1154,-7.4040, -0.352, 50.000, 0.000, 1832
1449023664.894,-0.81,1.58,57.1200,0.0051,-0.0049,-1.0359,0.4025,0.4141,0.3964,0.3803,-0.6347,8.1312,-7.4056, -0.352, 50.000, 0.000, 1832
1449023664.918,-0.79,1.58,57.5300,0.0031,-0.0049,-1.0364,0.4032,0.5985,0.2734,0.3802,-0.6376,8.1524,-7.4075, -0.352, 50.000, 0.000, 1832
1449023664.936,-0.78,1.58,57.9400,0.0026,0.0010,-1.0360,0.2805,0.7222,0.3337,0.3803,-0.6405,8.1684,-7.4089, -0.352, 50.000, 0.000, 1832
1449023664.953,-0.77,1.58,58.3300,0.0041,0.0054,-1.0375,0.3414,0.8453,0.3324,0.3803,-0.6433,8.1845,-7.4102, -0.352, 50.000, 0.000, 1832
1449023664.978,-0.76,1.58,58.7100,0.0055,0.0073,-1.0350,0.2822,0.8447,0.0898,0.3804,-0.6462,8.2060,-7.4117, -0.352, 50.000, 0.000, 1832
1449023664.996,-0.75,1.58,59.0900,0.0050,0.0083,-1.0341,0.4035,0.7831,0.2112,0.3806,-0.6491,8.2221,-7.4128, -0.352, 50.000, 0.000, 1832
1449023665.014,-0.75,1.59,59.4600,0.0050,0.0151,-1.0313,0.5254,0.9676,0.2092,0.3807,-0.6520,8.2385,-7.4137, -0.352, 50.000, 0.000, 1832
1449023665.038,-0.75,1.59,59.8300,0.0065,0.0189,-1.0289,0.3422,0.9681,0.2100,0.3809,-0.6548,8.2602,-7.4149, -0.352, 50.000, 0.000, 1832
1449023665.056,-0.75,1.60,60.2000,0.0119,0.0223,-1.0254,0.2805,1.1533,0.2695,0.3812,-0.6577,8.2766,-7.4156, -0.352, 50.000, 0.000, 1832
1449023665.074,-0.75,1.61,60.5700,0.0128,0.0277,-1.0231,0.4032,0.9679,0.2097,0.3814,-0.6606,8.2931,-7.4163, -0.352, 50.000, 0.000, 1832
1449023665.097,-0.76,1.62,60.9400,0.0118,0.0340,-1.0159,0.3421,1.0913,0.2090,0.3817,-0.6635,8.3150,-7.4170, -0.352, 50.000, 0.000, 1832
1449023665.116,-0.77,1.63,61.3200,0.0133,0.0335,-1.0163,0.2807,0.9685,0.2710,0.3820,-0.6664,8.3316,-7.4175, -0.352, 50.000, 0.000, 1832
1449023665.133,-0.78,1.64,61.6800,0.0133,0.0369,-1.0086,0.4039,0.8446,0.1500,0.3824,-0.6693,8.3482,-7.4178, -0.352, 50.000, 0.000, 1832
1449023665.157,-0.80,1.65,62.0300,0.0153,0.0393,-1.0091,0.2200,1.0301,0.2100,0.3828,-0.6721,8.3704,-7.4182, -0.352, 50.000, 0.000, 1832
1449023665.176,-0.82,1.67,62.4000,0.0163,0.0422,-1.0053,0.2807,0.9685,0.2710,0.3832,-0.6750,8.3872,-7.4183, -0.352, 50.000, 0.000, 1832
1449023665.194,-0.83,1.68,62.7400,0.0197,0.0422,-1.0052,0.0369,0.9690,0.2113,0.3837,-0.6779,8.4040,-7.4184, -0.352, 50.000, 0.000, 1832
1449023665.218,-0.85,1.69,63.0900,0.0143,0.0427,-1.0029,0.2813,0.8451,0.2113,0.3841,-0.6808,8.4264,-7.4183, -0.352, 50.000, 0.000, 1832
1449023665.236,-0.87,1.70,63.4300,0.0168,0.0441,-0.9927,0.2827,0.8446,0.0291,0.3846,-0.6837,8.4433,-7.4181, -0.352, 50.000, 0.000, 1832
1449023665.254,-0.89,1.71,63.7400,0.0134,0.0397,-0.9936,0.0382,0.6606,0.0924,0.3852,-0.6867,8.4604,-7.4179, -0.352, 50.000, 0.000, 1832
1449023665.278,-0.90,1.71,64.0000,0.0203,0.0363,-0.9926,0.0373,0.6610,0.2138,0.3857,-0.6896,8.4832,-7.4174, -0.352, 50.000, 0.000, 1832
1449023665.295,-0.92,1.72,64.3400,0.0168,0.0339,-0.9994,0.0990,0.5374,0.1539,0.3863,-0.6925,8.5003,-7.4170, -0.352, 50.000, 0.000, 1832
1449023665.314,-0.93,1.72,64.6900,0.0203,0.0305,-0.9964,0.2211,0.4755,0.1538,0.3869,-0.6955,8.5176,-7.4165, -0.352, 50.000, 0.000, 1832
1449023665.338,-0.94,1.72,65.0200,0.0168,0.0261,-0.9993,-0.0239,0.4149,0.2768,0.3875,-0.6985,8.5406,-7.4157, -0.352, 50.000, 0.000, 1832
1449023665.355,-0.95,1.72,65.3200,0.0168,0.0257,-1.0056,0.0992,0.3526,0.1554,0.3882,-0.7014,8.5578,-7.4149, -0.352, 50.000, 0.000, 1832
1449023665.374,-0.96,1.72,65.6600,0.0139,0.0222,-0.9935,0.0360,0.5383,0.3970,0.3889,-0.7044,8.5753,-7.4141, -0.352, 50.000, 0.000, 1832
1449023665.398,-0.96,1.72,65.9700,0.0135,0.0169,-0.9949,0.0982,0.3530,0.2768,0.3896,-0.7074,8.5986,-7.4129, -0.352, 50.000, 0.000, 1832
1449023665.416,-0.96,1.72,66.0700,0.0095,0.0121,-1.0094,-0.0853,0.2921,0.3388,0.3904,-0.7105,8.6162,-7.4119, -0.352, 50.000, 0.000, 1832
1449023665.434,-0.96,1.71,66.1800,0.0120,0.0116,-1.0113,0.0372,0.2916,0.2776,0.3912,-0.7135,8.6338,-7.4109, -0.352, 50.000, 0.000, 1832
